 동서울대 컴퓨터정보과 전화번호?,컴퓨터정보과 전화번호는 031-720-2150 입니다.
 동서울대 컴퓨터소프트웨어과 전화번호?,컴퓨터소프트웨어과 전화번호는 031-720-2090 입니다.
 동서울대 컴퓨터전자과 전화번호?, 컴퓨터전자과 전화번호는 031-720-2070 입니다.
 동서울대 항공기계과 전화번호?,항공기계과 전화번호는 031-720-2055 입니다.
 동서울대 미래자동차과 전화번호?,미래자동차과 전화번호는 031-720-2040 입니다.
 동서울대 전기공학과 전화번호?,전기공학과 전화번호는 031-720-2060 입니다.
 동서울대 IT융합학과 전화번호?, IT융합학과 전화번호는 031-720-2080 입니다.
 동서울대 건축학과 전화번호?, 건축학과 전화번호는 031-720-2130 입니다.
 동서울대 디지털방송콘텐츠학과 전화번호?, 디지털방송콘텐츠학과 전화번호는 031-720-2170 입니다.
 동서울대 실내디자인학과 전화번호?,실내디자인학과 전화번호는 031-720-2920 입니다.
 동서울대 게임콘텐츠학과 전화번호?, 게임콘텐츠학과 전화번호는 031-720-2940 입니다.
 동서울대 자유전공학과 전화번호?,자유전공학과 전화번호는 031-724-2338 입니다.
 동서울대 스마트드론과 전화번호?,스마트드론과 전화번호는 031-720-2086 입니다.
 동서울대 디지털헬스케어과 전화번호?,디지털헬스케어과 전화번호는 031-720-2077 입니다.
 동서울대 호텔외식조리과 전화번호?,호텔외식조리과 전화번호는 031-720-2201 입니다.
 동서울대 카페베이커리학과 전화번호?,카페베이커리학과 전화번호는 031-720-2201 입니다.
 동서울대 보건의료행정과 전화번호?, 보건의료행정과 전화번호는 031-724-2332 입니다.
 동서울대 세무회계과 전화번호?,세무회계과 전화번호는 031-720-2126 입니다.
 동서울대 마케팅과 전화번호?,마케팅과 전화번호는 031-720-2930 입니다.
 동서울대 도시계획부동산과 전화번호?,도시계획부동산과 전화번호는 031-720-2120 입니다.
 동서울대 호텔관광경영과 전화번호?,호텔관광경영학과 전화번호는 031-720-2240 입니다.
 동서울대 아동보육과 전화번호?, 아동보육과 전화번호는 031-720-2280 입니다.
 동서울대 사회복지학과 전화번호?,사회복지학과 전화번호는 031-720-2270 입니다.
 동서울대 항공서비스학과 전화번호?,항공서비스과 전화번호는 031-720-2960 입니다.
 동서울대 글로벌중국비즈니스과 전화번호?,글로벌중국비즈니스학과 전화번호는 031-720-2950 입니다.
 동서울대 사회복지상담과 전화번호?,"사회복지상담과 전화번호는 031-720-2270, 2278 입니다."
 동서울대 레저스포츠학과 전화번호?,레저스포츠학과 전화번호는 031-720-2230 입니다.
 동서울대 경호스포츠학과 전화번호?,경호스포츠학과 전화번호는 031-720-2230 입니다.
 동서울대 산업디자인학과 전화번호?,"산업디자인학과 전화번호는 031-720-2110, 2118 입니다."
 동서울대 시각디자인학과 전화번호?,"시각디자인학과 전화번호는 031-720-2100, 2105 입니다."
 동서울대 패션디자인과 전화번호?,패션디자인학과 전화번호는 031-720-2180 입니다.
