question,reference,generated,bleu,meteor,rouge_1,rouge_2,rouge_L
산업디자인학과는 어떤 학과인가요?,"산업디자인학과는 창의적이고 능동적인 산업디자이너를 양성하며, 제품디자인, UI/UX디자인, 3D프린팅디자인 등 다양한 분야의 현장 중심 교육을 제공합니다.","Human: 
    아래 정보(context)를 참고하여 사용자 질문에 답해주세요:
    경호스포츠학과팩스번호는031-720-2296 입니다.
동서울대산업디자인학과팩스번호?
산업디자인학과팩스번호는031-720-2289 입니다.
동서울대시각디자인학과팩스번호?

전문학사 졸업 후 학사학위 취득이 가능한 산업디자인학과는 제품디자인, 
환경디자인, 3D프린트디자인, 디지털디자인, 멀티미디어디자인, UI/UX디자인,

동서울대경호스포츠학과전화번호?
경호스포츠학과전화번호는031-720-2230 입니다.
동서울대산업디자인학과전화번호?
산업디자인학과전화번호는031-720-2110, 2118 입니다.

(주)데코피아, (주)인테크디자인 등
전문학사 졸업 후 학사학위 취득이 가능한 산업디ไซ니스트는 제품디자인,

산업디자인학과이경아교수님연구실위치가어디인가요?
산업디ไซ니스트가이경아교수님 연구실을 찾아야 합니다. 
이경아교수님의 연구실 위치는 본관2층에 있습니다.

 산업디esign학과 김두한교수님연구실위치가어디인가요?

Kim Duhwan 교수님 연구실은 본관 5층에서 찾을 수 있습니다.

산업디자인학과 유승용교수님연구실위치가어디인가요?

Yu Seung Yong 교수님 연구실은 본관 3층에 위치하고 있습니다. 

    질문:
    산업디자인학과는 어떤 학과인가요?

    답변:",0.003163667425663915,0.09259259259259259,0.19999999999999998,0.07142857142857144,0.13333333333333333
산업디자인학과의 주요 학과 연혁은 무엇인가요?,"1981년에 학과가 신설되었으며, 2021년 산업디자인학과로 명칭이 변경되었습니다. 2024년에는 제품생활디자인과 UI/UX디자인 전공으로 이원화되었습니다.","네, 산업디자인학과의 주요 학과 연혁을 요약해드릴게요.

산업디자인학과는 2005년에 설립되어 현재까지 교육부 선정 사회맞춤형사업으로 운영 중입니다. 산업디자인학과는 제품디자인, 플랫폼디자인, 건축디자인 및 다른 분야의 다양한 학과를 제공하고 있습니다.",0.0,0.0,0.0,0.0,0.0
"산업디자인학과의 교수님들은 누구이며, 연락처는 어떻게 되나요?","1. 유승용 교수: 본관 5층 M503호, 031-720-2116, acapsule@du.ac.kr
2. 황정행 교수: 본관 5층 M514호, 031-720-2112, nextizen@du.ac.kr
3. 최재홍 교수: 본관 5층 M509호, 031-720-2113, hongdwe@nate.com
4. 이경아 교수: 본관 2층 M207호, 031-720-2117, nadomilka@du.ac.kr
5. 김두한 교수: 본관 3층 M309호, 031-720-2111, 212abc@du.ac.kr
6. 다까스요꼬 교수: 본관 4층 M415호, 031-720-2125, yktakasu@du.ac.kr","Human: 
    아래 정보(context)를 참고하여 사용자 질문에 답해주세요:
    동서울대학교의입학상담실연락처는어떻게되나요?
입학상담실의연락처는031-720-2900~2이며, FAX는031-720-2903입니다.
동서울대학교의취업상담실연락처는무엇인가요?

산업디자인학과이경아교수님연구실위치가어디인가요?
산업디자인학과이경아교수님연구실은본관2층에위치해있습니다.
산업디자인학과김두한교수님연구실위치가어디인가요?

산업디자인학과다카스요꼬교수님연구실위치가어디인가요?
산업디자인학과다까스요꼬교수님연구실은본관4층에위치해있습니다.
산업디자인학과최재홍교수님연구실위치가어디인가요?

자유전공학과의학생들이졸업후진로는어떻게되나요?
자유전공학과학생들은학과선택이후, 해당학과의전공관련분야로진출하여자신
의전문성을발휘하게됩니다. 이를통해학생들은자신이탐색한전공분야에서경력

산업디자인학과유승용교수님연구실위치가어디인가요?
산업디esign학과이경아교수님연구실위치가어디인가요?

    질문:
    산업디자인학과의 교수님들은 누구이며, 연락처는 어떻게 되나요?

    답변:",0.0,0.0,0.19444444444444445,0.05714285714285715,0.19444444444444445
산업디자인학과의 교육목표와 방침은 무엇인가요?,"융복합 기술 시대에 대응한 현장 중심의 직무능력과 창의적 사고력을 길러내어, 국내외 공모전 및 산학협력 프로젝트를 통해 전문성을 갖춘 디자이너를 양성합니다.","Industrial Designers acquire specialized skills to contribute to the future of aviation and design industries through interdisciplinary knowledge exploration.
Industrial Designers aim to enhance their expertise in both commercial aircraft and design fields, leading to innovative solutions and technological advancements.",0.0,0.0,0.0,0.0,0.0
산업디자인학과 졸업 후 진로는 어떻게 되나요?,"제품디자인, 환경디자인, 3D프린팅디자인, 멀티미디어디자인, UI/UX디자인 등 다양한 디자인 관련 산업으로 진출할 수 있습니다.","산업디자인학과 졸업 후 진로는 다양한 산업에서 제품 및 환경을 설계하고, 디지털 디자인과 UI/UX를 활용하여 고객 경험을 개선합니다. 전공자들은 Hyundai, Samsung, LG 등 주요 기업에서 근무할 수 있습니다.",0.017554679594930896,0.2191840277777778,0.5,0.3333333333333333,0.5
산업디자인학과에서 취득 가능한 자격증은 무엇인가요?,"제품디자인기사, 컬러리스트기사, 서비스/경험디자인기사, 컴퓨터그래픽스 운용기능사, 웹디자인기능사 등 다양한 자격증을 취득할 수 있습니다.","안녕하세요! 자유전공학과에서 취득 가능한 자격증은 다음과 같습니다:

기본적인 컴퓨터 활용자격증과 SMAT 자격증을 취득할 수 있으며, 전공학(주)데코피아와 (주)인테크디자인 등에 입학하는 경우, 전문학사 졸업 후 학사학위를 취득할 수 있습니다. 산업디자인학과에서 취득 가능한 자격증은 제품디자인, 환경디자인, 3D 프린트 디자인, 디지털 디자인, 멀티미디어 디자인, UI/UX 디자인 등입니다.",0.03000284317350863,0.24834437086092717,0.0,0.0,0.0
산업디자인학과의 특징은 무엇인가요?,"세계 3대 디자인 어워드인 iF Design Award를 수상했으며, 사회맞춤형 창의융합디지털디자인 협약반을 통해 높은 취업률을 달성하였습니다.","Industrial Design Department's characteristics are:

The department operates a 5-year-long social-matching project selected by the education ministry.
It provides top-notch lecture rooms for practical training, focusing on future-society adaptability and creativity.",0.006032401726201458,0.030120481927710843,0.04878048780487805,0.0,0.04878048780487805
산업디자인학과의 학과 위치와 연락처는 어떻게 되나요?,"3호관 1층 3104호에 위치하고 있으며, 연락처는 전화 031-720-2110, 팩스 031-720-2289입니다.",,0.0,0.0,0.0,0.0,0.0
스마트드론과는 어떤 학과인가요?,"스마트드론과는 4차 산업혁명 시대를 선도할 드론 특성화 인재를 양성하며, 첨단 기술과 실무 능력을 갖춘 드론 전문 기술인을 배출하는 학과입니다.","스마트드론과는 동서울대에서 운영하는 2년제 학과입니다.
스마트드론과는 동서울대 스마트드론과를 의미합니다.",0.009387774042495226,0.05555555555555555,0.0,0.0,0.0
스마트드론과의 주요 학과 연혁은 무엇인가요?,"2023년에 신설된 학과로, 드론 조종, 정비, 소프트웨어 개발 등을 중심으로 드론 산업에 적합한 전문 인재를 양성합니다.","스마트드론과의 주요 학과 연혁은 다음과 같습니다:

스마트드론과는 2006년에 개설된 학과로, 2011년부터 20명 학생을 대상으로 하여 전담과정으로 운영됩니다. 현재 9호관 1층에 위치하고 있으며, 연락처는 T. 031-720-2086, F. 031-720-2261입니다.",0.006980361417366381,0.029239766081871343,0.0,0.0,0.0
