question,reference,generated,bleu,meteor,rouge_1,rouge_2,rouge_L
산업디자인학과는 어떤 학과인가요?,"산업디자인학과는 창의적이고 능동적인 산업디자이너를 양성하며, 제품디자인, UI/UX디자인, 3D프린팅디자인 등 다양한 분야의 현장 중심 교육을 제공합니다.","산업디자인학과는 제품디자인, 환경디자인, 3D프린트디자인, 디지털디자인, 멀티미디어디자인, UI/UX디자인입니다.",4.247709049575951e-232,0.07042253521126761,1.0,0.5,0.6666666666666666
산업디자인학과의 주요 학과 연혁은 무엇인가요?,"1981년에 학과가 신설되었으며, 2021년 산업디자인학과로 명칭이 변경되었습니다. 2024년에는 제품생활디자인과 UI/UX디자인 전공으로 이원화되었습니다.","산업디자인학과의 주요 학과 연혁은 다음과 같습니다:
    2020년(학사학위 취득 가능) | 2019년(학사학위 취득 가능) | 2018년(학사학위 취득 가능) | 2017년(학사학위 취득 가능) | 2016년(학사학위 취득 가능) | 2015년(학사학위 취득 가능) | 2014년(학사학위 취득 가능) | 2013년(학사학위 취득 가능) | 2012년(학사학위 취득 가능) | 2011년(학사학위 취득 가능) | 2010년(학사학위 취득 가능) | 2009년(학사학위 취득 가능) | 2008년(학사학위 취득 가능) | 2007년(학사학위 취득 가능) | 2006년(학사학위 취득 가능) | 2005년(학사학위 취득 가능) | 2004년(학사학위 취득 가능) | 2003년(학사학위 취득 가능) | 2002년(학사학위 취득 가능) | 2001년(학사학위 취득 가능) | 2000년(학사학위 취득 가능) | 1999년(학사학위 취득 가능) | 1998년(학사학위 취득 가능) | 1997년(학사학위 취득 가능) | 1996년(학사학위 취득 가능) | 1995년(학사학위 취득 가능) | 1994년(학사학위 취득 가능) | 1993년(학사학위 취득 가능) | 1992년(학사학위 취득 가능) | 1991년(학사학위 취득 가능) | 1990년(학사학위 취득 가능) | 1989년(학사학위 취득 가능) | 1988년(학사학위 취득 가능) | 1987년(학사학위 취득 가능) | 1986년(학사학위 취득 가능) | 1985년(학사학위 취득 가능) | 1984년(학사학위 취득 가능) | 1983년(학사학위 취득 가능) | 1982년(학사학위 취득 가능) | 1981년(학사학위 취득 가능) | 1980년(학사학위 취득 가능) | 1979년(학사학위 취득 가능) | 1978년(학사학위 취득 가능) | 1977년(학사학위 취득 가능) | 1976년(학사학위 취득 가능) | 1975년(학사학위 취득 가능) | 1974년(학사학위 취득 가능) | 1973년(학사학위 취득 가능) | 1972년(학사학위 취득 가능) | 1971년(학사학위 취득 가능) | 1970년(학사학위 취득 가능) | 1969년(학사학위 취득 가능) | 1968년(학사학위 취득 가능) | 1967년(학사학위 취득 가능) | 1966년(학사학위 취득 가능) | 1965년(학사학위 취득 가능) | 1964년(학사학위 취득 가능) | 1963년(학사학위 취득 가능) | 1962년(학사학위 취득 가능) | 1961년(학사학위 취득 가능) | 1960년(학사학위 취득 가능) | 1959년(학사학위 취득 가능) | 1958년(학사학위 취득 가능) | 1957년(학사학위 취득 가능) | 1956년(학사학위 취득 가능) | 1955년(학사학위 취득 가능) | 1954년(학사학위 취득 가능) | 1953년(학사학위 취득 가능) | 1952년(학사학위 취득 가능) | 1951년(학사학위 취득 가능) | 1950년(학사학위 취득 가능) | 1949년(학사학위 취득 가능) | 1948년(학사학위 취득 가능) | 1947년(학사학위 취득 가능) | 1946년(학사학위 취득 가능) | 1945년(학사학위 취득 가능) | 1944년(학사학위 취득 가능) | 1943년(학사학위 취득 가능) | 1942년(학사학위 취득 가능) | 1941년(학사학위 취득 가능) | 1940년(학사학위 취득 가능) | 1939년(학사학위 취득 가능) | 1938년(학사학위 취득 가능) | 1937년(학사학위 취득 가능) | 1936년(학사학위 취득 가능) | 1935년(학사학위 취득 가능) | 1934년(학사학위 취득 가능) | 1933년(학사학위 취득 가능) | 1932년(학사학위 취득 가능) | 1931년(학사학위 취득 가능) | 1930년(학사학위 취득 가능) | 1929년(학사학위 취득 가능) | 1928년(학사학위 취득 가능) | 1927년(학사학위 취득 가능) | 1926년(학사학위 취득 가능) | 1925년(학사학위 취득 가능) | 1924년(학사학위 취득 가능) | 1923년(학사학위 취득 가능) | 1922년(학사학위 취득 가능) | 1921년(학사학위 취득 가능) | 1920년(학사학위 취득 가능) | 1919년(학사학위 취득 가능) | 1918년(학사학위 취득 가능) | 1917년(학사학위 취득 가능) | 1916년(학사학위 취득 가능) | 1915년(학사학위 취득 가능) | 1914년(학사학위 취득 가능) | 1913년(학사학위 취득 가능) | 1912년(학사학위 취득 가능) | 1911년(학사학위 취득 가능) | 1910년(학사학위 취득 가능) | 1909년(학사학위 취득 가능) | 1908년(학사학위 취득 가능) | 1907년(학사학위 취득 가능) | 1906년(학사학위 취득 가능) | 1905년(학사학위 취득 가능) | 1904년(학사학위 취득 가능) | 1903년(학사학위 취득 가능) | 1902년(학사학위 취득 가능) | 1901년(학사학위 취득 가능) | 1900년(학사학위 취득 가능) | 1899년(학사학위 취득 가능) | 1898년(학사학위 취득 가능) | 1897년(학사학위 취득 가능) | 1896년(학사학위 취득 가능) | 1895년(학사학위 취득 가능) | 1894년(학사학위 취득 가능) | 1893년(학사학위 취득 가능) | 1892년(학사학위 취득 가능) | 1891년(학사학위 취득 가능) | 1890년(학사학위 취득 가능) | 1889년(학사학위 취득 가능) | 1888년(학사학위 취득 가능) | 1887년(학사학위 취득 가능) | 1886년(학사학위 취취득 가능) | 1885년(학사학위 취취득 가능) | 1884년(학사학위 취취득 가능) | 1883년(학사학위 취취득 가능) | 1882년(학사학위 취취득 가능) | 1881년(학사학위 취취득 가능) | 1880년(학사학위 취취득 가능) | 1879년(학사학위 취취득 가능) | 1878년(학사학위 취취득 가능) | 1877년(학사학위 취취득 가능) | 1876년(학사학위 취취득 가능) | 1875년(학사학위 취취득 가능) | 1874년(학사학위 취취득 가능) | 1873년(학사학위 취취득 가능) | 1872년(학사학위 취취득 가능) | 1871년(학사학위 취취득 가능) | 1870년(학사학위 취취득 가능) | 1869년(학사학위 취취득 가능) | 1868년(학사학위 취취득 가능) | 1867년(학사학위 취취득 가능) | 1866년(학사학위 취취득 가능) | 1865년(학사학위 취취득 가능) | 1864년(학사학위 취취득 가능) | 1863년(학사학위 취취득 가능) | 1862년(학사학위 취취득 가능) | 1861년(학사학위 취취득 가능) | 1860년(학사학위 취취득 가능) | 1859년(학사학위 취취득 가능) | 1858년(학사학위 취취득 가능) | 1857년(학사학위 취취득 가능) | 1856년(학사학위 취취득 가능) | 1855년(학사학위 취취득 가능) | 1854년(학사학위 취취득 가능) | 1853년(학사학위 취취득 가능) | 1852년(학사학위 취취득 가능) | 1851년(학사학위 취취득 가능) | 1850년(학사학위 취취득 가능) | 1849년(학사학위 취취득 가능) | 1848년(학사학위 취취득 가능) | 1847년(학사학위 취취득 가능) | 1846년(학사학위 취취득 가능) | 1845년(학사학위 취취득 가능) | 1844년(학사학위 취취득 가능) | 1843년(학사학위 취취득 가능) | 1842년(학사학위 취취득 가능) | 1841년(학사학위 취취득 가능) | 1840년(학사학위 취취득 가능) | 1839년(학사학위 취취득 가능) | 1838년(학사학위 취취득 가능) | 1837년(학사학위 취취득 가능) | 1836년(학사학위 취취득 가능) | 1835년(학사학위 취취득 가능) | 1834년(학사학위 취취득 가능) | 1833년(학사학위 취취득 가능) | 1832년(학사학위 취취득 가능) | 1831년(학사학위 취취득 가능) | 1830년(학사학위 취취득 가능) | 1829년(학사학위 취취득 가능) | 1828년(학사학위 취취득 가능) | 1827년(학사학위 취취득 가능) | 1826년(학사학위 취취득 가능) | 1825년(학사학위 취취득 가능) | 1824년(학사학위 취취득 가능) | 1823년(학사학위 취취득 가능) | 1822년(학사학위 취취득 가능) | 1821년(학사학위 취취득 가능) | 1820년(학사학위 취취득 가능) | 1819년(학사학위 취취득 가능) | 1818년(학사학위 취취득 가능) | 1817년(학사학위 취취득 가능) | 1816년(학사학위 취취득 가능) | 1815년(학사학위 취취득 가능) | 1814년(학사학위 취취득 가능) | 1813년(학사학위 취취득 가능)",0.0,0.0,0.009389671361502348,0.0,0.009389671361502348
"산업디자인학과의 교수님들은 누구이며, 연락처는 어떻게 되나요?","1. 유승용 교수: 본관 5층 M503호, 031-720-2116, acapsule@du.ac.kr
2. 황정행 교수: 본관 5층 M514호, 031-720-2112, nextizen@du.ac.kr
3. 최재홍 교수: 본관 5층 M509호, 031-720-2113, hongdwe@nate.com
4. 이경아 교수: 본관 2층 M207호, 031-720-2117, nadomilka@du.ac.kr
5. 김두한 교수: 본관 3층 M309호, 031-720-2111, 212abc@du.ac.kr
6. 다까스요꼬 교수: 본관 4층 M415호, 031-720-2125, yktakasu@du.ac.kr",인력을 관리하는 과정에서 직원들의 개인정보가 처리 및 보호에 대한 정보는 제공되지 않습니다.,0.0,0.0,0.0,0.0,0.0
산업디자인학과의 교육목표와 방침은 무엇인가요?,"융복합 기술 시대에 대응한 현장 중심의 직무능력과 창의적 사고력을 길러내어, 국내외 공모전 및 산학협력 프로젝트를 통해 전문성을 갖춘 디자이너를 양성합니다.","디자인 전문성을 기할 수 있습니다.
교육방침, 목표
    산업디자인학과의 교육목표는 실무 중심의 디자이너를 양성하는 것입니다. 학과 방침은 현장 경험을 바탕으로 창의적이고 기술적인 디자이너를 양성하는 실무중심 디자인 교육을 통해 기대하는 전문성을 기를 수 있는 학습 환경을 제공하는 것입니다.",1.1121803032788522e-231,0.11574074074074076,0.0,0.0,0.0
산업디자인학과 졸업 후 진로는 어떻게 되나요?,"제품디자인, 환경디자인, 3D프린팅디자인, 멀티미디어디자인, UI/UX디자인 등 다양한 디자인 관련 산업으로 진출할 수 있습니다.","인공지능: 인공지능은 컴퓨터 소프트웨어 및 인공지능 연구 분야에서 사용되는 기술입니다. 인공지능은 데이터를 기반으로 결정을 내리거나 행동을 수행하는 시스템을 의미하며, 이에 대한 정의는 매우 구체적이고 복잡한 주제입니다. 예를 들어, 웹툰 작가와 관련된 정보는 다음과 같습니다: 웹툰 작가는 웹툰 콘텐츠를 제작하고 배포하는 전문가입니다. 웹툰 PD(프로듀서)는 웹툰 콘텐츠를 관리하고 배포하는 역량을 갖춘 인물입니다. 웹툰 스토리 작가는 웹툰 콘텐츠의 스토리를 구성하고 전달하는 전문가입니다. 웹툰 콘텐츠 기획자는 웹툰 콘텐츠를 기획하고 운영하는 역량을 갖춘 인물입니다. 일러스(일러시)는 제품 디자인, 환경 디지널라이즈(환경 디자인)는 환경 디지널라이즈를 연구하고 개발하는 전문가입니다. 3D 프린트 디지널라이즈는 3D 프린트를 사용하여 제작하는 역량을 갖춘 인물입니다. 디지털 디지널라이즈는 디지털 콘텐츠를 연구 및 개발하는 역량을 갖춘 인물입니다. 멀티미디어 디지널라이즈는 멀티미디어 콘텐츠를 연구 및 개발하는 역량을 갖춘 인물입니다. UI/UX 디지널라이즈는 사용자 인터페이스와 사용자 경험을 연구 및 개발하는 역량을 갖춘 인물입니다.",0.0,0.0,0.7499999999999999,0.6666666666666666,0.7499999999999999
산업디자인학과에서 취득 가능한 자격증은 무엇인가요?,"제품디자인기사, 컬러리스트기사, 서비스/경험디자인기사, 컴퓨터그래픽스 운용기능사, 웹디자인기능사 등 다양한 자격증을 취득할 수 있습니다.","인테크디자인학과에서 취득 가능한 자격증은 제품디자인, 환경디자인, 3D프린트디자인, 디지털디자인, 멀티미디어디자인, UI/UX디자인입니다.",0.0,0.0,0.0,0.0,0.0
산업디자인학과의 특징은 무엇인가요?,"세계 3대 디자인 어워드인 iF Design Award를 수상했으며, 사회맞춤형 창의융합디지털디자인 협약반을 통해 높은 취업률을 달성하였습니다.","산업디자인학과는 교육부 선정 사회맞춤형사업 5년간 운영하여 현장중심의 실습실(강의실)이 최고 환경으로 이뤄지고 있으며, 미래 사회에 적합한 창조적이고 전문 학사 졸업 후 학사학위 취득이 가능한 학과입니다.",0.0,0.0,0.0,0.0,0.0
산업디자인학과의 학과 위치와 연락처는 어떻게 되나요?,"3호관 1층 3104호에 위치하고 있으며, 연락처는 전화 031-720-2110, 팩스 031-720-2289입니다.",산업디자인학과의 학과 위치는 본관 4층입니다. 연락처는 031-720-2230입니다.,7.296382734947757e-232,0.05154639175257732,0.30769230769230765,0.18181818181818182,0.30769230769230765
스마트드론과는 어떤 학과인가요?,"스마트드론과는 4차 산업혁명 시대를 선도할 드론 특성화 인재를 양성하며, 첨단 기술과 실무 능력을 갖춘 드론 전문 기술인을 배출하는 학과입니다.",스마트드론과는 9호관 1층에 위치해 있습니다.,7.408687442158376e-233,0.028409090909090908,0.0,0.0,0.0
스마트드론과의 주요 학과 연혁은 무엇인가요?,"2023년에 신설된 학과로, 드론 조종, 정비, 소프트웨어 개발 등을 중심으로 드론 산업에 적합한 전문 인재를 양성합니다.","스마트드론과의 주요 학과 연혁은 다음과 같습니다:
    2020년 8월 1일(학사형태 변경)
    2022년 3월 1일(전공형태 변경)
    2022년 3월 1일(학사형태 변경)
    2022년 3월 1일(전문학사형태 변경)
    2022년 3월 1일(학사학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사 학위만 제공)
    2022년 3월 1일(전문학사",0.0,0.0,0.0,0.0,0.0
